	1639	1423	1280	1613	28901	1680	1351	139	2702	287	562	813	432308	2022747	70584
f56c2a13-e09f-424e-9151-b548e0c36ff4	1.0														
4329a042-4376-47ec-ab85-d83856207b24	0.9998268416682671		0.00017315833173288872												
89ef17c8-6bc8-4ee3-b473-4eb0f3c1f71e	1.0														
4378574f-804f-4678-a4d7-86cee7e9209f	1.0														
17c7ad60-f5fa-4636-843d-393246d102c9	1.0														
d3a515f4-6035-48b7-9296-5bd5eccfa2b8	1.0														
0780fffd-cead-4877-bd38-021140d7819c	1.0														
214a369f-a85b-41ad-96f5-e0945d8b0671	1.0														
4204d25e-40c2-4717-b888-d837ecb3ac66	1.0														
5ca15c29-1d8c-4ffe-a468-453b0e2d878e	1.0														
3e9fb63e-fa72-412a-a1c2-73155b480de1	1.0														
e4c2a9c3-8ae2-4572-967f-4b398bf64b0b	1.0														
7dde459f-1952-47ab-b8d5-bd63bb1a3cab	1.0														
a9b336f1-aa9d-4bca-a197-651e990d748f	1.0														
04ed8e92-6712-44d1-811e-62aac2232800	1.0														
985f1838-fff5-4410-b322-cd71e33d153a	1.0														
76c62aa8-5b3b-4439-a3f0-54292b0f3100	1.0														
3be2023f-3b5c-4b31-a78b-87c9bf5d9157	1.0														
39447432-fea8-47ee-a89d-cc1dc90a5dae	1.0														
a0fab106-dd52-4c9f-a332-c7d1b9f43585	1.0														
4bdf6d3f-72e4-482a-a765-3091d4e3aecf	1.0														
fe0c072d-106e-49b2-aa0a-36caeb7bd576	1.0														
de9e68d2-a602-4efb-a209-a4a4ab10e86b	1.0														
a925c2f8-e1cb-4462-bbc1-0322db4ec5f3	1.0														
5437c856-e3da-460a-a119-7237514845f1	1.0														
b56e6f19-ac50-4723-9f0e-48d46a998328	1.0														
ee73345a-a7b4-4b1a-931f-3d6ac4714696	1.0														
c73ff8aa-c336-4eb8-a81f-c35f20fc5864	1.0														
1fcf7965-23ce-460d-b1ae-878588859e46	1.0														
5b9744b8-39ef-4fb3-b3c8-b1ebba8eeb29	1.0														
23121f7c-d6b8-4bf6-9eb6-3d1bac531e13	1.0														
1fda26ab-c4b5-4a00-b797-d3ae4ffb0f37	1.0														
a5169d5d-1c2e-4451-b6c9-077ca1ae9143	1.0														
5cfc1664-37b8-49b6-8f99-c7e0079dac6e	1.0														
0c3f13c0-75ea-4234-9f64-85830ed8d031	1.0														
92b7e3d5-813e-4418-b9d9-baba60e9f331	1.0														
682c6034-ba1d-40e3-81cd-6cb2ad2c026d	1.0														
e9516071-4d5b-4d45-ab8b-7b8c7334519b	1.0														
29b85468-8e30-4673-bfe0-e68630060102	1.0														
de47292f-0931-4988-b5c2-c38550930c6f	1.0														
e2fa6f32-48af-494f-815b-1aa88c355e0f	1.0														
ebdcd538-39b3-428a-b611-84e8f7f3a7e6	1.0														
e957b3ca-0d84-4639-b177-575ea1e3849b	1.0														
337e0e74-3554-4955-98b7-3de6a0276140	1.0														
938fd3b2-0715-417b-80dd-aa9d09a3b926	1.0														
2203f597-e166-4d17-824f-57e98bd0e6d5	1.0														
3a880813-bdc6-4822-be37-50dd3de76ebe	1.0														
829454c3-7a09-4d95-a276-79bc5a5f8854	4.483404162061766e-80	1.0													
20730d76-b7ac-4f15-994e-bf48b530968d	1.0														
01233d3c-8424-49ba-b7be-c10af9f70346	1.0														
926c95e8-2dbc-4e2a-a3f4-afec4f462b0b	1.0														
1a0f0479-3fdb-4b5d-b58f-865adc556b82	1.0														
a2c7b08b-7d15-4587-b464-5ebffd8bfd8f	1.0														
3f0b57ee-0702-4dd1-9670-6405aabd3fb4	1.0														
5f2e57b5-68bf-4bea-bd9d-cf0296ce1691	1.0														
cf027fe2-ab89-496d-8f58-469cba442a71	1.0														
aa804032-106c-4f2f-bff1-d08bc6c711e0	1.0														
bceae940-bcd2-49ee-8914-e6dc307b734e	1.0														
6d1c0779-d9a5-4116-ae4b-a24263c54e7f	1.0														
6102dac8-7151-49dd-b621-2d1110e15db4	1.0														
e151cd0d-b9e7-46a0-8504-3bda649d892c	1.0														
20fd2017-f571-49a7-a73c-e6e22a780c89	1.0														
0ca412af-cf0c-41a8-8405-10922bfceb1e	1.0														
3083eea2-0450-4155-b917-bb14d23e6775	1.0														
9d89ad2e-fc63-4666-8ac9-49b4b0b111a2	1.0														
35b6df57-53e1-4544-98c5-79e1d10be3b9	1.0														
dd67f13d-5d1d-45a2-a7c7-f4d6f4c43115	1.0														
6fe946f5-8571-4b24-9b0e-2f4067647243	1.0														
25ef0f71-67fc-4c13-80e1-06b4bfe695c1	1.0														
22eb8c71-ddc5-4599-84af-04022f61ccb1	1.0														
d34a1a74-0390-4004-a8f7-e7acc049cdcd	1.0														
f73803e5-3c88-4de5-bdbc-ef4c446bd039	1.0														
f2384f94-fa55-4eda-80a9-6c22d8579f4c	1.0														
17b9a190-5aa5-4ff7-9df6-4da02696e263	1.0														
41991656-0ba5-4064-bda9-96b0dc654904	1.0														
ee4a5fca-0966-46e0-96c0-f146a864e501	1.0														
fc9bb998-0194-4e7d-bdfe-13a03ce98a09	1.0														
1f16c6de-526d-4142-8a19-7469353872a9	1.0														
b9825270-c37c-4999-8114-c1fadaa591f6	1.0														
a8692ad9-faa9-4a7b-a8d9-9b693249a5aa	1.0														
88cd8129-d1a3-45b0-b7e2-cd9e0773fb3b	1.0														
599fa9e6-e075-46e2-be80-00b147c2874f	1.0														
81820f3c-1018-4f2e-b6f1-132535250e5d	1.0														
43bbf704-61aa-4c4d-af94-2237ad9cf97a	1.0														
cf309e02-e070-49c9-bb55-58ab0a51dd21	1.0														
66e5cbd9-34f4-4d16-93b7-83a64636dbb4	1.0														
3ab16445-4939-419b-b36e-adbc5a3a106e	1.0														
f9259bb2-44d0-41b1-a9d1-29102438236f	1.0														
a4de798a-5911-4a48-a9ab-3ac9b8befa59	1.0														
db34b538-4bd3-41df-85a1-e35f41c601f9	1.0														
3e0b8c7b-1480-4f01-8357-0ae8c371ee41	1.0														
19843aec-3d7c-4c51-8d25-f7c9dc77ef60	1.0														
0b8ed6bd-6d55-4948-af59-c015096a6fdd	1.0														
d1425051-b3a7-41e1-b330-6afc765a932b	1.0														
e971cefe-101d-44d7-a0a1-4e7797b9d382	1.0														
f9d46c9b-c1c3-43ba-ad71-2dfa9ecd9c22	1.0														
9cb45e79-f5e3-4a43-8246-77b4f23b89a4	1.0														
91636643-74c6-4d5e-bc0c-6e27e86f0b15	1.0														
20b58f07-a6ff-4bc7-a333-7fb8b73ab5ae	1.0														
902d3290-b5fe-41cd-af1b-c48d944b5464	1.0														
